repo_slug,repo_url,num_forks,num_watchers,num_stars,primary_language,num_PRs,num_PRs_human,num_PRs_agent,num_PRs_bot,num_months_with_agentic_PRs,filter_passed,filter_reason,min_monthly_commits_observed,branch_checked,commits_2025-12,commits_2026-01,commits_2026-02,commits_2026-03,commits_2026-04,commits_2026-05
rustfs/rustfs,https://github.com/rustfs/rustfs,536,39,11209,Rust,924,775,117,32,8,1,passed,130,auto,130,146,187,180,248,204
FalkorDB/falkordb-browser,https://github.com/FalkorDB/falkordb-browser,16,4,63,TypeScript,747,672,22,53,6,1,passed,176,auto,240,227,176,264,286,289
goplus/builder,https://github.com/goplus/builder,46,4,64,TypeScript,1865,1720,15,130,5,1,passed,35,auto,58,64,35,45,40,36
The-Boring-Education/TBE-Web,https://github.com/The-Boring-Education/TBE-Web,54,0,15,TypeScript,641,620,19,2,3,1,passed,128,auto,156,132,128,308,302,150
hey-api/openapi-ts,https://github.com/hey-api/openapi-ts,268,10,3511,TypeScript,2037,1161,94,782,6,1,passed,195,auto,218,242,362,381,351,195
PBH-BTN/PeerBanHelper,https://github.com/PBH-BTN/PeerBanHelper,132,13,5277,Java,859,366,28,465,4,1,passed,37,auto,192,206,391,101,83,37
bruin-data/ingestr,https://github.com/bruin-data/ingestr,113,19,3331,Python,514,486,17,11,7,1,passed,34,auto,58,154,107,34,77,96
nandyalu/trailarr,https://github.com/nandyalu/trailarr,15,6,279,Python,340,69,19,252,5,1,passed,29,auto,35,127,59,29,143,98
elastic/docs-content,https://github.com/elastic/docs-content,176,167,23,Python,3283,3216,30,37,6,1,passed,191,auto,191,255,255,199,240,216
erpc/erpc,https://github.com/erpc/erpc,68,10,588,Go,713,476,16,221,8,1,passed,12,auto,25,18,35,12,27,21
SigNoz/signoz.io,https://github.com/SigNoz/signoz.io,115,5,20,MDX,2297,2196,70,31,5,1,passed,72,auto,72,93,150,138,144,132
gameknife/gkNextEngine,https://github.com/gameknife/gkNextEngine,11,5,87,C++,116,104,12,0,4,1,passed,34,auto,34,212,121,52,58,44
ngx-vest-forms/ngx-vest-forms,https://github.com/ngx-vest-forms/ngx-vest-forms,5,5,57,TypeScript,68,39,14,15,5,1,passed,10,auto,42,40,80,48,10,78
kvcache-ai/Mooncake,https://github.com/kvcache-ai/Mooncake,424,38,4246,C++,1102,1076,19,7,4,1,passed,79,auto,93,89,79,113,119,98
sourcebot-dev/sourcebot,https://github.com/sourcebot-dev/sourcebot,173,13,2792,TypeScript,598,534,35,29,5,1,passed,46,auto,46,92,143,102,128,47
steve02081504/fount,https://github.com/steve02081504/fount,46,9,854,JavaScript,160,66,48,46,7,1,passed,14,auto,55,31,77,138,30,14
microsoft/vscode-python-environments,https://github.com/microsoft/vscode-python-environments,30,12,69,TypeScript,569,479,74,16,10,1,passed,16,auto,16,24,78,39,26,24
AArnott/Nerdbank.MessagePack,https://github.com/AArnott/Nerdbank.MessagePack,9,3,125,C#,722,413,25,284,9,1,passed,29,auto,89,38,37,32,65,29
elastic/docs-builder,https://github.com/elastic/docs-builder,32,4,13,C#,2135,1599,24,512,5,1,passed,92,auto,92,147,175,121,170,97
microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,15123,418,44730,Jupyter Notebook,376,296,13,67,4,1,passed,32,auto,32,117,116,52,221,60
valentinbreiz/nativeaot-patcher,https://github.com/valentinbreiz/nativeaot-patcher,10,5,31,C#,151,136,14,1,3,1,passed,89,auto,99,164,101,158,239,89
hotovo/aider-desk,https://github.com/hotovo/aider-desk,67,14,933,TypeScript,112,85,19,8,5,1,passed,136,auto,153,226,161,246,175,136
rybbit-io/rybbit,https://github.com/rybbit-io/rybbit,452,24,9512,TypeScript,578,389,17,172,5,1,passed,38,auto,136,97,157,83,38,63
PrimeIntellect-ai/verifiers,https://github.com/PrimeIntellect-ai/verifiers,430,28,3478,Python,690,599,91,0,8,1,passed,67,auto,67,158,110,93,161,123
willmiao/ComfyUI-Lora-Manager,https://github.com/willmiao/ComfyUI-Lora-Manager,65,6,746,Python,208,86,122,0,4,1,passed,67,auto,67,151,99,100,102,71
theepicsaxguy/homelab,https://github.com/theepicsaxguy/homelab,9,0,155,HCL,2261,1139,118,1004,7,1,passed,72,auto,150,169,183,178,77,72
perber/leafwiki,https://github.com/perber/leafwiki,7,1,21,Go,585,235,67,283,5,1,passed,43,auto,92,67,43,85,87,69
samanhappy/mcphub,https://github.com/samanhappy/mcphub,187,15,1515,TypeScript,400,267,68,65,6,1,passed,18,auto,37,38,18,39,42,45
google/adk-python,https://github.com/google/adk-python,2316,125,14908,Python,1621,1032,36,553,9,1,passed,106,auto,106,187,182,178,183,116
Routstr/routstr-core,https://github.com/Routstr/routstr-core,7,3,35,Python,276,246,27,3,3,1,passed,62,auto,93,116,62,123,105,83
Nicxe/f1_sensor,https://github.com/Nicxe/f1_sensor,3,1,98,Python,240,141,68,31,3,1,passed,19,auto,19,163,191,155,26,113
dynatrace-oss/dynatrace-mcp,https://github.com/dynatrace-oss/dynatrace-mcp,58,7,172,TypeScript,291,183,23,85,6,1,passed,13,auto,18,15,28,60,53,13
taylorwilsdon/google_workspace_mcp,https://github.com/taylorwilsdon/google_workspace_mcp,259,7,891,Python,309,292,11,6,6,1,passed,102,auto,102,128,291,261,394,158
unicorn-mafia/unicorn-mafia,https://github.com/unicorn-mafia/unicorn-mafia,8,1,21,TypeScript,80,65,15,0,4,1,passed,19,auto,61,45,29,110,90,19
volcano-sh/kthena,https://github.com/volcano-sh/kthena,18,4,64,Go,567,553,14,0,5,1,passed,73,auto,270,285,102,73,184,234
openai/openai-agents-js,https://github.com/openai/openai-agents-js,458,25,1861,TypeScript,664,476,33,155,5,1,passed,34,auto,53,150,92,113,34,126
XargonWan/Synthetic_Heart,https://github.com/XargonWan/Synthetic_Heart,0,0,11,Python,213,51,162,0,4,1,passed,24,auto,91,110,280,106,134,24
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,30,7,408,JavaScript,527,443,84,0,6,1,passed,83,auto,491,98,394,87,289,83
